acao_realizada;caracteristica_acao;n_profissionais_atendidos;descricao_acao;data_acao;data_publicacao;municipio_atendido;user_id
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Atendimento referente à ativação de perfil no sistema SAA - solicitação feita no rede SUAS;22/02/2022;17/08/2022;Paranaíta;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Atendimento referente à ativação de perfil no sistema SAA - solicitado no rede SUAS;22/02/2022;17/08/2022;Ribeirão Cascalheira;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação de acesso ao sistema SAA pela presidente do CMAS;22/02/2022;17/08/2022;Campos de Júlio;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre portaria 733 e 23 do SNAS;21/02/2022;17/08/2022;Alto Boa Vista;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre portaria 733 e 23 do SNAS;21/02/2022;17/08/2022;Feliz Natal;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre portaria 733 e 23 do SNAS;21/02/2022;17/08/2022;Matupá;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre portaria 733 e 23 do SNAS;21/02/2022;17/08/2022;Aripuanã;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre portaria 733 e 23 do SNAS;21/02/2022;17/08/2022;Figueirópolis D'Oeste;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;21/02/2022;17/08/2022;Vila Rica;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;21/02/2022;17/08/2022;Barão de Melgaço;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;21/02/2022;17/08/2022;Santo Afonso;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;21/02/2022;17/08/2022;Vila Rica;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;21/02/2022;17/08/2022;Nossa Senhora do Livramento;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;21/02/2022;17/08/2022;São José do Xingu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;21/02/2022;17/08/2022;São Félix do Araguaia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Prestação de Contas FEAS 2021 e Plano de Ação FEAS 2022;21/02/2022;17/08/2022;Comodoro;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre utilização de recursos;21/02/2022;17/08/2022;Diamantino;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;21/02/2022;17/08/2022;Porto Alegre do Norte;1
